id,region,filiere,ktype,sau,umo,ugb,nb_vl,surface_sfp,surface_herbe_pp,surface_herbe_pt,surface_culture
61,Bretagne,Caprins,Tendre vers l'autonomie fourragère,111.0,0.7,40.2,0,30.7,2.7,1.9,6.2
62,Pays de la Loire,Caprins,"MB saison, pâturage et foin",84.9,0.3,41.3,0,22.2,0.0,22.2,38.4
63,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,160.5,1.7,109.2,0,16.4,0.0,0.2,144.1
64,Pays de la Loire,Bovins lait,Volume de lait modeste,46.0,0.5,0.0,61,36.8,8.5,21.4,9.2
65,Bretagne,Grandes cultures,"Race charolaise, 200 places",42.6,0.0,136.1,1,10.9,0.0,0.0,31.8
66,Pays de la Loire,Bovins lait,"génisses viande, 100% pâture VL 4 mois",315.0,0.0,172.1,0,54.8,11.7,43.2,36.3
67,Normandie,Bovins lait, 6000 à 6500 l/VL,24.4,0.8,17.0,65,16.1,14.8,1.3,8.3
68,Pays de la Loire,Bovins viande,"Race charolaise, vêlages de printemps",123.7,1.1,129.5,0,35.4,31.0,4.5,88.3
69,Pays de la Loire,Ovins lait,"Début de traite au 05/03, ensilage herbe",167.9,0.0,72.1,0,102.5,21.6,43.7,1.3
70,Bretagne,Ovins viande,3 mises bas en 2 ans,49.5,0.3,69.6,0,47.9,23.5,24.2,0.0
71,Bretagne,Ovins lait,"Début de traite au 20/02, foin",117.4,1.3,100.5,0,20.6,3.4,17.2,18.0
72,Normandie,Ovins lait,"Début de traite au 05/03, ensilage herbe",139.2,0.9,87.3,0,101.7,16.1,68.0,28.1
73,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,210.1,1.3,141.1,1,9.1,0.0,1.0,201.0
74,Normandie,Ovins lait,"Début de traite au 15/02, ensilage herbe",106.4,0.6,58.0,0,38.4,4.3,34.1,34.5
75,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,83.2,0.1,126.9,0,7.4,0.9,0.0,75.8
76,Pays de la Loire,Bovins viande,Deux périodes d'agn. Bergerie et herbe,135.1,1.1,147.0,0,99.0,58.5,40.6,36.1
77,Normandie,Caprins,Pastoral misant sur les parcours,47.9,0.0,41.0,0,18.6,12.3,6.3,29.3
78,Normandie,Bovins lait,140 VL avec ROTO ,90.0,0.0,126.8,114,74.2,0.0,0.0,0.0
79,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,163.0,0.0,133.3,0,9.2,0.0,1.3,153.7
80,Pays de la Loire,Ovins lait,"Début de traite au 01/12, enrubannage",40.7,1.5,86.4,1,34.9,23.7,1.4,5.8
81,Bretagne,Ovins viande,3 agn.s en 2 ans Reproducteurs ,16.2,0.6,62.0,0,6.9,3.0,3.9,9.3
82,Pays de la Loire,Ovins lait,"Début de traite au 01/09, ensilage herbe",116.4,0.0,129.1,0,61.3,16.2,45.1,21.6
83,Normandie,Bovins lait,100% herbe,207.1,0.3,128.5,66,85.2,53.1,8.1,111.3
84,Pays de la Loire,Autre,Engraisseur avec diversification canne,12.7,0.0,20.7,0,3.6,0.7,2.9,0.0
85,Bretagne,Ovins viande,3 agn./2 ans non systématique Bergerie,126.5,1.8,46.9,0,31.3,23.1,8.2,0.0
86,Bretagne,Bovins lait,Un agn. au printemps Herbe dominants,146.2,0.8,132.8,54,88.2,60.7,27.5,0.0
87,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,211.2,0.2,86.6,0,22.3,0.9,0.0,105.7
88,Pays de la Loire,Caprins,"MB de saison, 33% LL, ensilage de maïs",75.0,0.0,45.9,0,21.2,10.2,11.0,53.8
89,Pays de la Loire,Ovins lait,"Début de traite au 01/12, enrubannage",86.7,0.8,61.2,0,61.6,4.5,57.1,25.1
90,Pays de la Loire,Caprins,"MB de saison, 33% LL, ensilage de maïs",68.5,0.3,36.0,0,34.3,0.2,5.5,0.0
91,Normandie,Ovins lait,"Début de traite au 20/02, foin",22.1,0.0,68.5,0,16.4,2.2,14.1,5.7
92,Normandie,Bovins lait,1/3 pâture VL au printemps ,142.0,0.6,234.0,51,51.4,22.5,28.9,0.0
93,Pays de la Loire,Ovins viande,Deux périodes d'agn. Bergerie dominants,19.4,0.6,37.4,0,1.9,1.3,0.7,17.5
94,Pays de la Loire,Caprins,65% du lait transformé en fromages ,46.4,0.0,79.9,1,13.1,2.0,11.2,33.2
95,Normandie,Ovins lait,"Début de traite au 01/09, ensilage herbe",113.9,0.3,74.8,0,69.4,5.9,63.5,26.1
96,Pays de la Loire,Ovins lait,"Début de traite au 01/09, ensilage herbe",166.8,0.0,92.6,0,35.2,5.6,29.6,27.1
97,Normandie,Bovins lait,Engraissement de taurillons laitiers,27.6,0.0,140.2,104,9.3,6.6,2.7,18.3
98,Bretagne,Ovins viande,Bergerie dominants - auto renouvellement,74.9,0.0,68.2,0,17.1,4.4,12.6,57.8
99,Normandie,Bovins viande,"Vêl.hiver, Broutards et femelles finies",166.5,0.0,100.7,0,103.9,0.0,15.4,0.0
100,Pays de la Loire,Bovins lait,AOP - Structure modeste,176.4,0.0,76.6,26,114.9,27.4,29.7,0.0
101,Pays de la Loire,Bovins viande,"Boeufs, femelles finies",0.0,1.1,155.6,0,0.0,0.0,0.0,0.0
102,Bretagne,Caprins,"Deux périodes de MB, foin de luzerne",40.4,0.4,59.4,0,28.4,0.0,6.7,11.9
103,Bretagne,Ovins viande,Bergerie dominants - auto renouvellement,38.7,1.8,97.9,0,16.6,5.3,11.3,22.1
104,Normandie,Bovins lait,Engraissement de taurillons laitiers,81.8,1.1,60.4,13,42.4,19.8,22.6,39.4
105,Normandie,Ovins viande,Deux périodes d'agn. Reproducteurs,100.4,1.6,76.5,0,42.0,40.9,1.1,0.9
106,Pays de la Loire,Autre,Engraisseur avec diversification canne,10.8,0.0,12.2,0,5.0,1.3,2.8,0.0
107,Bretagne,Bovins lait,"bœufs laitiers, 100% pâture VL 2 mois",205.0,0.0,136.9,125,91.1,55.0,36.2,0.0
108,Bretagne,Bovins lait,AOP - Structure modeste,84.0,0.0,16.1,78,84.0,75.7,8.3,0.0
109,Bretagne,Ovins lait,"Début de traite au 01/09, ensilage herbe",112.2,0.0,72.7,0,95.2,19.8,43.1,16.9
110,Bretagne,Ovins lait,"Début de traite au 01/09, ensilage herbe",115.9,0.3,77.3,0,23.9,8.3,15.6,23.4
111,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,146.5,0.0,145.3,0,19.9,0.0,1.1,126.6
112,Pays de la Loire,Bovins viande,"Vêl. aut, Très jeunes bovins-fem. finies",130.7,2.2,121.0,0,108.1,89.9,18.2,22.7
113,Pays de la Loire,Ovins lait,"Début de traite au 15/12, foin ventilé",19.2,0.0,87.8,0,14.9,3.2,11.7,4.4
114,Bretagne,Autre,Engraisseur avec diversification canne,5.1,0.1,10.0,1,3.6,0.2,2.7,0.0
115,Normandie,Ovins viande,Deux périodes d'agn. Bergerie dominants,88.8,2.8,30.4,0,1.2,0.9,0.4,19.8
116,Bretagne,Caprins,Pastoral misant sur les parcours,67.2,0.0,49.4,1,25.4,0.0,23.2,0.0
117,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,220.5,0.0,111.4,0,18.4,0.0,0.0,28.7
118,Pays de la Loire,Caprins,"MB saison, monotraite, pâturage, méteil",59.3,0.0,36.9,0,8.2,4.5,3.7,16.8
119,Bretagne,Ovins viande,Agnelage x2 - agneaux semi-finis,0.0,0.0,115.6,0,0.0,0.0,0.0,0.0
120,Normandie,Ovins lait,"Début de traite au 05/03, ensilage herbe",139.0,0.0,104.2,0,73.3,9.4,62.8,32.2
121,Pays de la Loire,Caprins,Pastoral misant sur les parcours,45.1,0.0,61.8,0,34.1,4.7,12.4,10.4
122,Bretagne,Caprins,19% du lait transformé en fromages ,93.0,0.0,43.1,0,15.8,7.0,8.8,0.0
123,Normandie,Bovins viande,"Broutards, femelles finies",172.1,0.8,103.7,0,145.8,41.8,22.7,26.3
124,Pays de la Loire,Ovins viande,200 brebis race bouchère - Batiment,58.1,0.1,24.1,0,20.6,20.4,0.1,37.5
125,Bretagne,Ovins viande,Un agn. en automne Bergerie dominants,107.5,0.0,81.1,1,67.0,0.0,43.4,21.9
126,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,152.2,0.2,148.3,0,4.8,0.7,1.9,147.4
127,Pays de la Loire,Bovins lait,AOP - Zone volcanique d'altitude,116.8,0.0,137.6,107,51.0,18.4,32.6,65.8
128,Bretagne,Bovins lait,25% maïs/SFP,51.0,0.7,121.5,108,32.6,0.0,32.6,18.4
129,Bretagne,Autre,Engraisseur avec diversification canne,12.3,0.0,16.5,0,3.2,0.0,3.2,0.2
130,Pays de la Loire,Bovins lait," 25% maïs/SFP, vaches allaitantes et JB",99.7,0.0,73.2,0,89.7,67.3,0.0,10.0
131,Normandie,Caprins,"MB saison, maxi pâturage",143.5,0.2,30.3,0,0.0,0.0,0.0,0.0
132,Pays de la Loire,Bovins viande,"Race blonde d'Aquitaine, vêlages d'hiver",115.2,0.9,97.2,1,61.5,34.5,26.9,0.0
133,Normandie,Bovins lait,"30% maïs/SFP, grande dimension",25.3,0.1,120.3,39,12.8,6.3,6.5,12.5
134,Pays de la Loire,Autre,Engraisseur avec diversification canne,11.6,0.4,22.0,0,3.0,0.0,2.9,0.0
135,Bretagne,Autre,Engraisseur avec diversification canne,9.6,0.8,19.1,0,3.8,0.9,2.9,1.5
136,Normandie,Bovins lait,Herbager foin ventilé,194.0,0.0,72.5,78,102.5,31.7,8.1,72.1
137,Pays de la Loire,Caprins,Une gamme bien valorisée,39.6,0.0,3.9,0,4.2,3.0,1.2,35.4
138,Bretagne,Autre,Engraisseur avec diversification canne,7.8,1.5,14.7,0,2.9,0.1,2.7,1.0
139,Pays de la Loire,Caprins,"Désaisonnement, enrubannage",51.8,0.0,3.7,0,33.0,20.5,12.5,18.8
140,Bretagne,Autre,Engraisseur avec diversification canne,4.9,0.0,21.0,0,3.2,0.0,3.2,0.0
141,Bretagne,Ovins lait,"Début de traite au 15/02, ensilage herbe",86.4,0.7,41.7,0,85.1,17.2,33.5,1.3
142,Pays de la Loire,Ovins lait,"Début de traite au 15/02, ensilage herbe",141.1,0.0,88.5,0,25.8,10.3,15.5,26.6
143,Normandie,Ovins lait,"Début de traite au 20/11, ensilage",76.3,0.0,88.2,0,57.7,11.3,46.5,18.6
144,Bretagne,Bovins viande,"Structure moyenne spécialisée, montagne",123.7,2.6,42.0,0,123.7,87.7,13.1,0.0
145,Pays de la Loire,Bovins viande,Race Limousine sous Labels,0.0,0.0,141.4,0,0.0,0.0,0.0,0.0
146,Pays de la Loire,Caprins,"MB saison, maxi pâturage",59.3,0.0,55.6,0,48.1,13.5,15.4,0.0
147,Pays de la Loire,Bovins viande,"Vêl. automne, Broutards lourds",114.6,0.0,86.7,0,66.8,28.5,30.7,47.8
148,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,141.8,0.0,120.1,0,19.0,1.4,0.0,71.1
149,Normandie,Bovins viande,"Début de traite au 15/01, enrubannage",175.0,0.2,120.4,0,154.0,46.9,53.6,0.0
150,Pays de la Loire,Ovins viande,Deux périodes d'agn. Reproducteurs,50.2,0.0,67.8,0,27.9,20.4,7.4,22.3
151,Normandie,Ovins lait,"Début de traite au 20/11, ensilage",54.0,1.2,79.1,0,51.9,3.4,48.5,2.1
152,Pays de la Loire,Ovins lait,"Début de traite au 20/02, foin",95.6,1.1,81.1,1,41.1,2.1,38.9,29.4
153,Pays de la Loire,Ovins lait,"Début de traite au 05/03, ensilage herbe",82.9,0.2,86.9,0,48.0,10.7,37.3,15.4
154,Bretagne,Caprins,Une gamme lactique en circuits courts,59.8,0.0,21.0,0,34.2,12.5,11.0,0.0
155,Normandie,Bovins lait,0% pâture VL,225.4,0.6,237.3,40,38.5,18.9,19.6,32.1
156,Bretagne,Ovins lait,"Début de traite au 05/03, ensilage herbe",113.1,1.8,76.7,0,98.8,11.8,64.3,14.4
157,Pays de la Loire,Bovins lait,25 % maïs/SFP (irrigation),181.9,0.1,102.9,0,170.1,13.0,40.1,0.0
158,Normandie,Caprins,Rentabiliser les charges alimentaires,34.7,0.4,43.5,0,0.0,0.0,0.0,33.7
159,Normandie,Ovins lait,"Début de traite au 05/03, ensilage herbe",90.1,1.5,84.8,0,75.2,7.6,67.5,15.0
160,Normandie,Bovins lait,"< 10% maïs/SFP, bœufs",32.9,0.0,8.3,110,30.3,17.7,12.6,2.6
161,Pays de la Loire,Caprins,"MB saison, monotraite, pâturage, méteil",48.5,0.1,64.3,0,4.9,4.4,0.4,0.0
162,Normandie,Caprins,Pastoral misant sur les parcours,20.0,0.0,58.0,0,20.0,0.0,20.0,0.0
163,Bretagne,Bovins lait,Herbe et céréales intraconsommées,7.4,1.2,121.6,99,5.1,4.8,0.4,2.3
164,Pays de la Loire,Ovins lait,"Début de traite au 05/03, ensilage herbe",97.2,0.7,75.1,1,72.2,24.2,48.0,25.0
165,Pays de la Loire,Caprins,"MB saison, pâturage",0.0,0.0,49.8,0,0.0,0.0,0.0,0.0
166,Pays de la Loire,Autre,Engraisseur avec diversification canne,9.4,0.0,20.2,0,3.2,0.0,3.2,0.3
167,Normandie,Ovins viande,3 agn./2 ans non systématique Bergerie ,33.7,0.0,60.7,0,27.5,0.0,0.0,6.3
168,Pays de la Loire,Bovins lait,100% pâture VL pendant 3 mois,214.4,0.3,102.3,82,97.8,37.5,48.3,47.8
169,Pays de la Loire,Bovins viande,"Structure moyenne spécialisée, montagne",81.6,0.4,149.6,0,59.9,46.0,0.0,21.8
170,Pays de la Loire,Ovins lait,"Début de traite au 05/03, ensilage herbe",98.2,1.9,104.2,0,27.5,4.3,23.3,23.4
171,Normandie,Autre,Engraisseur avec diversification canne,12.0,0.0,19.8,0,2.8,0.4,2.4,1.2
172,Pays de la Loire,Caprins,"Mises bas en saison, enrubannage et foin",0.0,0.0,45.0,0,0.0,0.0,0.0,0.0
173,Pays de la Loire,Autre,Engraisseur avec diversification canne,7.7,0.5,21.8,0,2.7,0.0,2.4,0.0
174,Pays de la Loire,Autre,Engraisseur avec diversification canne,12.4,0.0,21.6,0,3.3,0.1,3.2,0.0
175,Pays de la Loire,Bovins lait,"Robot de traite, 35% maïs/SFP",195.8,0.0,75.5,53,97.6,17.2,55.0,38.4
176,Normandie,Grandes cultures,Jeunes bovins finis - finition au maïs,133.2,0.3,137.7,0,1.2,0.0,0.0,132.0
177,Pays de la Loire,Caprins,19% du lait transformé en fromages ,71.4,0.7,51.3,0,34.3,2.2,0.0,0.0
178,Normandie,Ovins viande,2 périodes de mise bas,48.4,0.4,48.2,0,48.4,21.4,21.4,0.0
179,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,143.3,0.5,165.6,0,0.0,0.0,0.0,143.3
180,Pays de la Loire,Ovins viande,Bergerie dominants Achat des agnelles,163.9,0.0,87.8,1,20.9,1.4,19.5,38.2
181,Pays de la Loire,Ovins lait,"Début de traite au 15/12, foin ventilé",74.5,0.7,72.8,0,66.8,11.8,13.4,7.6
182,Bretagne,Autre,Engraisseur avec diversification canne,12.1,0.2,19.7,1,3.0,1.1,1.9,0.0
183,Pays de la Loire,Ovins viande,Alimentation sèche ,15.2,0.0,28.8,1,9.8,8.4,1.4,5.4
184,Pays de la Loire,Ovins lait,"Début de traite au 15/12, foin ventilé",69.9,0.0,86.7,0,42.7,10.8,31.9,27.1
185,Bretagne,Ovins viande,Un agn. en automne Bergerie et herbe,27.9,0.0,72.2,0,6.5,4.6,1.9,0.0
186,Pays de la Loire,Bovins lait,100% pâture VL pendant 4 mois,291.6,1.4,58.0,20,162.1,35.4,33.3,120.7
187,Pays de la Loire,Grandes cultures,"Race charolaise, 200 places",241.0,0.0,118.0,0,0.0,0.0,0.0,163.9
188,Pays de la Loire,Autre,Engraisseur avec diversification canne,9.9,0.8,24.5,0,2.6,0.0,2.5,0.0
189,Pays de la Loire,Caprins,Tendre vers l'autonomie fourragère,19.4,0.0,8.4,0,14.6,7.0,7.5,4.8
190,Normandie,Bovins lait,Herbe Maïs Montagne,174.7,0.0,240.1,115,122.6,0.0,28.4,0.0
191,Bretagne,Bovins viande,"Vêl. hiver, Broutards repoussés",109.9,0.3,98.5,0,71.5,58.0,13.5,0.0
192,Normandie,Ovins viande,Agnelage x2 - agneaux lourds + tardons,10.9,0.0,59.5,0,10.9,10.2,0.7,0.0
193,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,206.9,0.0,135.2,0,0.0,0.0,0.0,40.1
194,Bretagne,Ovins viande,200 brebis race bouchère - Batiment,109.3,0.0,8.8,0,71.0,27.7,4.9,0.0
195,Bretagne,Ovins lait,"Début de traite au 20/02, foin",52.5,0.0,115.5,0,45.7,7.2,38.5,6.9
196,Normandie,Bovins viande,"Désaisonnement, LL, ensilage de maïs ",13.9,0.0,120.9,0,7.8,0.0,7.8,6.2
197,Normandie,Autre,Engraisseur avec diversification canne,11.7,0.5,13.3,0,2.0,0.0,2.0,0.9
198,Normandie,Ovins viande,Agnelage principal en hiver,138.6,2.0,66.1,0,51.7,2.4,0.0,86.8
199,Pays de la Loire,Bovins lait,5-15% maïs/SFP,0.0,0.2,37.0,84,0.0,0.0,0.0,0.0
200,Bretagne,Autre,Engraisseur avec diversification canne,11.9,0.0,21.3,0,3.2,0.0,3.2,0.5
201,Pays de la Loire,Caprins,Tendre vers l'autonomie fourragère,46.8,0.0,39.9,0,18.5,9.3,0.0,0.0
202,Bretagne,Ovins lait,"Début de traite au 01/09, ensilage herbe",69.7,0.0,67.7,0,53.7,18.1,9.1,16.1
203,Pays de la Loire,Ovins lait,"Début de traite au 20/02, foin",42.8,0.0,113.2,0,41.9,12.5,29.5,0.9
204,Pays de la Loire,Ovins lait,"Début de traite au 15/02, ensilage herbe",87.0,0.0,79.0,0,63.6,7.8,55.8,23.4
205,Normandie,Ovins lait,"Début de traite au 05/03, ensilage herbe",146.1,0.4,106.9,0,88.3,8.4,79.9,22.5
206,Bretagne,Bovins lait,AOP - Zone volcanique d'altitude,227.7,0.0,208.2,51,113.9,39.1,72.8,57.8
207,Bretagne,Bovins viande,"Salers croisés, Broutards alourdis",127.1,0.8,153.5,0,103.3,74.6,28.7,23.8
208,Normandie,Ovins viande,Agnelage x2 - agnx maigres ou semi-finis,97.9,0.5,47.9,0,75.2,26.4,9.2,0.5
209,Bretagne,Bovins lait,Une partie des concentrés achetée,144.1,0.0,86.3,121,88.8,88.8,0.0,55.2
210,Normandie,Autre,Engraisseur avec diversification canne,8.4,0.7,16.8,0,2.5,0.0,2.5,0.6
211,Bretagne,Ovins lait,"Début de traite au 20/11, ensilage",82.5,0.0,72.9,0,76.5,15.0,9.9,5.9
212,Bretagne,Grandes cultures,"Race charolaise, 200 places",183.5,0.0,115.1,2,20.4,0.0,1.2,163.1
213,Bretagne,Ovins lait,"Début de traite au 01/12, enrubannage",106.0,0.7,53.2,0,88.7,11.2,77.5,2.3
214,Normandie,Bovins lait,"autonomie protéique, > 6500 l/VL",123.2,0.2,82.0,86,80.7,43.0,37.7,12.8
215,Normandie,Caprins,Mises bas désaisonnées,0.0,1.3,60.7,0,0.0,0.0,0.0,0.0
216,Bretagne,Grandes cultures,Jeunes bovins finis - finition au maïs,120.2,0.8,169.0,0,8.5,1.5,0.0,111.7
217,Pays de la Loire,Autre,Engraisseur avec diversification canne,12.8,0.0,12.3,1,3.3,0.5,2.8,0.0
218,Normandie,Ovins viande,600 brebis IDF - 3 périodes d'agnelage,107.7,0.3,76.3,0,32.4,17.4,15.0,29.5
219,Bretagne,Caprins,Mises bas désaisonnées,16.2,0.7,34.6,1,10.8,0.0,0.0,0.0
220,Bretagne,Ovins lait,"Début de traite au 15/02, ensilage herbe",65.5,0.4,128.1,2,54.3,7.8,46.5,11.3
221,Pays de la Loire,Grandes cultures,Jeunes bovins finis - finition au maïs,206.3,0.0,119.1,0,29.6,0.8,0.0,41.7
222,Normandie,Grandes cultures,"Race charolaise, 200 places",89.3,0.5,114.7,0,12.1,2.1,0.0,77.2
223,Bretagne,Caprins,Pastoral misant sur les parcours,36.8,0.8,55.2,0,0.0,0.0,0.0,29.6
224,Normandie,Grandes cultures,"Race charolaise, 200 places",89.1,0.0,136.7,0,13.0,0.0,0.0,76.1
